name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"Kim, Si Woo","Straka, Sepp",0.5231,0.4769,-110,110,-122,0.4749,-132,0.4424,,,,,,,,,,,,,,,,,,
"Fitzpatrick, Matt","McCarthy, Denny",0.4569,0.5431,119,-119,+117,0.4483,+105,0.3934,,,,,,,,,,,,,,,,,,
"Im, Sungjae","Burns, Sam",0.5104,0.4896,-104,104,-132,0.4074,-133,0.4045,-120,0.4461,,,,,,,,,,,,,,,,
"Rai, Aaron","MacIntyre, Robert",0.543,0.457,-119,119,-150,0.448,-145,0.4605,,,,,,,,,,,,,,,,,,
"Spaun, J.J.","Poston, J.T.",0.5113,0.4887,-105,105,-120,0.4487,-120,0.4487,-112,0.4791,,,,,,,,,,,,,,,,
"Lee, Min Woo","McNealy, Maverick",0.4483,0.5517,123,-123,+117,0.4213,+107,0.3764,+118,0.4258,,,,,,,,,,,,,,,,
"Noren, Alex","Homa, Max",0.5862,0.4138,-142,142,-165,0.5277,-176,0.5055,,,,,,,,,,,,,,,,,,
"Pendrith, Taylor","Thompson, Davis",0.5021,0.4979,-101,101,-115,0.4409,-116,0.4371,-108,0.4692,,,,,,,,,,,,,,,,
"Fowler, Rickie","Clark, Wyndham",0.5165,0.4835,-107,107,-115,0.4821,-121,0.4598,-124,0.4495,,,,,,,,,,,,,,,,
"Novak, Andrew","Bhatia, Akshay",0.5003,0.4997,-100,100,-110,0.4553,-109,0.4595,-117,0.4281,,,,,,,,,,,,,,,,
"Scott, Adam","An, Byeong Hun",0.5432,0.4568,-119,119,-144,0.4636,-152,0.4438,,,,,,,,,,,,,,,,,,
